Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
PortI,PI12,,,,,,,,,,,,,,,LTDC_HSYNC,EVENTOUT,,
PortI,PI13,,,,,,,,,,,,,,,LTDC_VSYNC,EVENTOUT,,
PortI,PI14,,,,,,,,,,,,,,,LTDC_CLK,EVENTOUT,,
PortI,PI15,,,,,,,,,,LTDC_G2,,,,,LTDC_R0,EVENTOUT,,
PortI,PI2,,,,TIM8_CH4,,I2S2_SDI/SPI2_MISO,,,,,,,FMC_D26,DCMI_D9,LTDC_G7,EVENTOUT,,
PortI,PI3,,,,TIM8_ETR,,I2S2_SDO/SPI2_MOSI,,,,,,,FMC_D27,DCMI_D10,,EVENTOUT,,
PortI,PI4,,,,TIM8_BKIN,,,,,,,SAI2_MCLK_A,TIM8_BKIN_COMP1/TIM8_BKIN_COMP2,FMC_NBL2,DCMI_D5,LTDC_B4,EVENTOUT,,
PortI,PI5,,,,TIM8_CH1,,,,,,,SAI2_SCK_A,,FMC_NBL3,DCMI_VSYNC,LTDC_B5,EVENTOUT,,
PortI,PI6,,,,TIM8_CH2,,,,,,,SAI2_SD_A,,FMC_D28,DCMI_D6,LTDC_B6,EVENTOUT,,
PortI,PI7,,,,TIM8_CH3,,,,,,,SAI2_FS_A,,FMC_D29,DCMI_D7,LTDC_B7,EVENTOUT,,
PortI,PI8,,,,,,,,,,,,,,,,EVENTOUT,,
PortI,PI9,,,,,,,,,UART4_RX,FDCAN1_RX,,,FMC_D30,,LTDC_VSYNC,EVENTOUT,,
PortJ,PJ0,,,,,,,,,,LTDC_R7,,,,,LTDC_R1,EVENTOUT,,
PortJ,PJ1,,,,,,,,,,,,,,,LTDC_R2,EVENTOUT,,
PortJ,PJ10,,TIM1_CH2N,,TIM8_CH2,,SPI5_MOSI,,,,,,,,,LTDC_G3,EVENTOUT,,
PortJ,PJ11,,TIM1_CH2,,TIM8_CH2N,,SPI5_MISO,,,,,,,,,LTDC_G4,EVENTOUT,,
PortJ,PJ12,DEBUG_TRGOUT,,,,,,,,,LTDC_G3,,,,,LTDC_B0,EVENTOUT,,
PortJ,PJ13,,,,,,,,,,LTDC_B4,,,,,LTDC_B1,EVENTOUT,,
PortJ,PJ14,,,,,,,,,,,,,,,LTDC_B2,EVENTOUT,,
PortJ,PJ15,,,,,,,,,,,,,,,LTDC_B3,EVENTOUT,,
PortJ,PJ2,,,,,,,,,,,,,,DSIHOST_TE,LTDC_R3,EVENTOUT,,
PortJ,PJ3,,,,,,,,,,,,,,,LTDC_R4,EVENTOUT,,
PortJ,PJ4,,,,,,,,,,,,,,,LTDC_R5,EVENTOUT,,
PortJ,PJ5,,,,,,,,,,,,,,,LTDC_R6,EVENTOUT,,
PortJ,PJ6,,,,TIM8_CH2,,,,,,,,,,,LTDC_R7,EVENTOUT,,
PortJ,PJ7,DEBUG_TRGIN,,,TIM8_CH2N,,,,,,,,,,,LTDC_G0,EVENTOUT,,
PortJ,PJ8,,TIM1_CH3N,,TIM8_CH1,,,,,UART8_TX,,,,,,LTDC_G1,EVENTOUT,,
PortJ,PJ9,,TIM1_CH3,,TIM8_CH1N,,,,,UART8_RX,,,,,,LTDC_G2,EVENTOUT,,
PortK,PK0,,TIM1_CH1N,,TIM8_CH3,,SPI5_SCK,,,,,,,,,LTDC_G5,EVENTOUT,,
PortK,PK1,,TIM1_CH1,,TIM8_CH3N,,SPI5_NSS,,,,,,,,,LTDC_G6,EVENTOUT,,
PortK,PK2,,TIM1_BKIN,,TIM8_BKIN,,,,,,,TIM8_BKIN_COMP1/TIM8_BKIN_COMP2,TIM1_BKIN_COMP1/TIM1_BKIN_COMP2,,,LTDC_G7,EVENTOUT,,
PortK,PK3,,,,,,,,,,,,,,,LTDC_B4,EVENTOUT,,
PortK,PK4,,,,,,,,,,,,,,,LTDC_B5,EVENTOUT,,
PortK,PK5,,,,,,,,,,,,,,,LTDC_B6,EVENTOUT,,
PortK,PK6,,,,,,,,,,,,,,,LTDC_B7,EVENTOUT,,
PortK,PK7,,,,,,,,,,,,,,,LTDC_DE,EVENTOUT,,
